submitted_item	validated_id	current_symbol
Adam	FBgn0027619	eIF3j
AGO1	FBgn0262739	AGO1
AGO2	FBgn0087035	AGO2
Ak6	FBgn0033754	Ak6
Ank	FBgn0011747	Ank
arg	FBgn0023535	arg
arg	FBgn0004569	aos
armi	FBgn0041164	armi
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
asparagine-synthetase	FBgn0270926	AsnS
Aut1	FBgn0036813	Atg3
Baldspot	FBgn0260960	Baldspot
betaTub60D	FBgn0003888	betaTub60D
BicC	FBgn0000182	BicC
bic	FBgn0000181	bic
bic	FBgn0000166	bcd
bic	FBal0001133	bic[1]
bif	FBgn0014133	bif
Bj1	FBgn0002638	Rcc1
btz	FBgn0045862	btz
bys	FBgn0010292	bys
Cad74A	FBgn0036715	Cad74A
Cad87A	FBgn0037963	Cad87A
Cct1	FBgn0041342	Pcyt1
Cct1	FBgn0003676	CCT1
Cdc42	FBgn0010341	Cdc42
CG10055	FBgn0037482	CG10055
CG10080	FBgn0034641	mahj
CG10107	FBgn0035713	velo
CG10184	FBgn0039094	CG10184
CG10286	FBgn0037439	CG10286
CG10354	FBgn0031868	Rat1
CG11006	FBgn0262714	Sap130
CG11076	FBgn0039929	CG11076
CG11133	FBgn0037205	BoYb
CG11148	FBgn0039936	Gyf
CG11198	FBgn0033246	ACC
CG11505	FBgn0035424	Larp4B
CG11652	FBgn0036194	Dph1
CG11660	FBgn0036187	RIOK1
CG11859	FBgn0039306	RIOK2
CG11920	FBgn0039274	CG11920
CG12004	FBgn0035236	CG12004
CG12006	FBgn0035464	PIG-B
CG12026	FBgn0262624	Tmhs
CG12050	FBgn0284251	l(2)05287
CG12068	FBgn0262112	sro
CG12288	FBgn0032620	CG12288
CG12325	FBgn0033557	CG12325
CG12360	FBgn0283438	CG46280
CG12360	FBgn0283439	CG46281
CG12576	FBgn0031190	CG12576
CG12608	FBgn0030630	CG12608
CG12785	FBgn0261286	Mat89Ba
CG12909	FBgn0033507	CG12909
CG12975	FBgn0037061	CG12975
CG13090	FBgn0032054	Uba4
CG13185	FBgn0033661	CG13185
CG13220	FBgn0033608	CG13220
CG1381	FBgn0033485	RpLP0-like
CG13865	FBgn0039965	Coa7
CG14036	FBgn0031677	CG14036
CG14065	FBgn0261618	larp
CG14230	FBgn0031062	CG14230
CG1434	FBgn0030554	CG1434
