submitted_item	validated_id	current_symbol
128up	FBgn0010339	128up
140up	FBgn0010340	140up
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3zeta	FBgn0004907	14-3-3zeta
14-3-3zeta	FBgn0004907	14-3-3zeta
14-3-3zeta	FBgn0004907	14-3-3zeta
26-29-p	FBgn0250848	26-29-p
312	FBgn0029514	312
312	FBgn0262450	mir-312
312	FBal0268654	Nsf2[lotus-312]
4EHP	FBgn0053100	eIF4EHP
5PtaseI	FBgn0259178	5PtaseI
A16	FBgn0028965	A16
A16	FBab0001868	Df(2L)pr-A16
dhd	FBgn0011761	dhd
Aats-ala-m	FBgn0028962	AlaRS-m
Aats-ala	FBgn0027094	AlaRS
Aats-arg	FBgn0027093	ArgRS
Aats-asn	FBgn0086443	AsnRS
Aats-asp	FBgn0002069	AspRS
Aats-cys	FBgn0027091	CysRS
Aats-gln	FBgn0027090	GlnRS
Aats-glupro	FBgn0005674	GluProRS
Aats-gly	FBgn0027088	GlyRS
Aats-his	FBgn0027087	HisRS
Aats-ile	FBgn0027086	IleRS
Aats-leu	FBgn0027085	LeuRS-m
Aats-lys	FBgn0027084	LysRS
Aats-met	FBgn0027083	MetRS-m
Aats-phe	FBgn0275436	PheRS-m
Aats-pro	FBgn0027082	ProRS-m
Aats-ser	FBgn0021750	SerRS-m
Aats-thr	FBgn0027081	ThrRS
Aats-trp	FBgn0010803	TrpRS
Aats-tyr	FBgn0027080	TyrRS
Aats-val	FBgn0027079	ValRS
aay	FBgn0023129	aay
Abi	FBgn0020510	Abi
CG33224	FBgn0259734	Nost
abs	FBgn0015331	abs
mtrm	FBgn0010431	mtrm
Acf1	FBgn0027620	Acf
Acon	FBgn0010100	mAcon1
Acox57D-d	FBgn0034629	Acox57D-d
Acox57D-p	FBgn0034628	Acox57D-p
Acp36DE	FBgn0011559	Acp36DE
Acph-1	FBgn0000032	Acph-1
Act42A	FBgn0000043	Act42A
Act57B	FBgn0000044	Act57B
Act57B	FBgn0000044	Act57B
Act57B	FBgn0000044	Act57B
Act5C	FBgn0000042	Act5C
Act5C	FBtp0039453	P{Act5C-GAL4.U}
Act87E	FBgn0000046	Act87E
Act88F	FBgn0000047	Act88F
Actn	FBgn0000667	Actn
Actn	FBgn0000667	Actn
Actn	FBgn0000667	Actn
Actn	FBgn0000667	Actn
Actn	FBgn0000667	Actn
Actr13E	FBgn0011741	Arp6
Acyp2	FBgn0038363	Acyp2
Ada1-1	FBgn0051865	Ada1-1
Ada2b	FBgn0037555	Ada2b
Ada2b	FBgn0037555	Ada2b
Adam	FBgn0027619	eIF3j
Ada	FBgn0037661	Ada
Ada	FBgn0264855	AP-2alpha
ade2	FBgn0000052	Pfas
ade3	FBgn0000053	Gart
ade3	FBgn0000053	Gart
ade5	FBgn0020513	Paics
Adgf-A	FBgn0036752	Adgf-A
Adh	FBgn0000055	Adh
Adk1	FBgn0037995	Adk1
Adk1	FBgn0022709	Ak1
Adk2	FBgn0036337	Adk2
Adk2	FBgn0283494	Ak2
His1	FBgn0001195	His1
adp	FBgn0000057	adp
aft	FBgn0026309	aft
AGO1	FBgn0262739	AGO1
AGO2	FBgn0087035	AGO2
ago	FBgn0041171	ago
ago	FBgn0087035	AGO2
Ahcy13	FBgn0014455	Ahcy
Ahcy89E	FBgn0015011	AhcyL2
AIF	FBgn0031392	AIF
Ak6	FBgn0033754	Ak6
Akap200	FBgn0027932	Akap200
akirin	FBgn0082598	akirin
Akt1	FBgn0010379	Akt1
Akt1	FBtp0014557	P{UAS-Akt1.HA}
alc	FBgn0260972	alc
Aldh-III	FBgn0010548	Aldh-III
Aldh	FBgn0012036	Aldh
Ald	FBgn0000063	Mps1
Ald	FBgn0000064	Ald1
Ald	FBgn0000063	Mps1
Ald	FBgn0000064	Ald1
ald	FBgn0000063	Mps1
ald	FBgn0000064	Ald1
Alg-2	FBgn0086378	Alg-2
alien	FBgn0013746	alien
ALiX	FBgn0086346	ALiX
AlkB	FBgn0065035	AlkB
alpha4GT1	FBgn0031491	alpha4GT1
alpha-Adaptin	FBgn0264855	AP-2alpha
alpha-Adaptin	FBgn0264855	AP-2alpha
alpha-Cat	FBgn0010215	alpha-Cat
alpha-Cat	FBtp0092295	P{UASp-alpha-Cat.D}
alphaCop	FBgn0025725	alphaCOP
alpha-Est1	FBgn0015568	alpha-Est1
alpha-Est3	FBgn0015571	alpha-Est3
alpha-Est5	FBgn0261393	alpha-Est5
alpha-Man-IIb	FBgn0026616	alpha-Man-IIb
alpha-Man-II	FBgn0011740	alpha-Man-IIa
alpha-Man-I	FBgn0259170	alpha-Man-Ia
alpha-Man-I	FBgn0259170	alpha-Man-Ia
anon-84Ea	FBgn0014930	CG2846
alphaTub67C	FBgn0087040	alphaTub67C
alph	FBgn0086361	alph
alt	FBgn0038535	alt
scra	FBgn0261385	scra
CG13299	FBgn0035694	CG13299
Amy-p	FBgn0000079	Amy-p
ana1	FBgn0262167	ana1
ana2	FBgn0027513	ana2
ana3	FBgn0266111	ana3
Ank2	FBgn0261788	Ank2
Ank	FBgn0011747	Ank
Lsp2	FBgn0002565	Lsp2
Treh	FBgn0003748	Treh
AnnX	FBgn0000084	AnxB10
AnnX	FBgn0000084	AnxB10
CycB3	FBgn0015625	CycB3
anon2A5	FBgn0022344	CG10340
anon-35F/36A	FBgn0014092	CG4278
anon-37B-2	FBgn0032746	CG10470
anon-60Da	FBgn0284252	Letm1
anon-66Db	FBgn0017429	CG5989
gnu	FBgn0001120	gnu
gnu	FBal0005121	gnu[305]
anon-i1	FBgn0015359	CG2034
CG42270	FBgn0261570	raskol
Anxb11	FBgn0030749	AnxB11
Aos1	FBgn0029512	Aos1
AP-1gamma	FBgn0030089	AP-1gamma
AP-1sigma	FBgn0039132	AP-1sigma
AP-2sigma	FBgn0043012	AP-2sigma
AP-2sigma	FBal0131822	AP-2sigma[KG02457]
AP-47	FBgn0024833	AP-1mu
cue	FBgn0011204	cue
Apc2	FBgn0026598	Apc2
Apc2	FBgn0002791	mr
Apc2	FBgn0026598	Apc2
Apc2	FBgn0002791	mr
APC4	FBgn0052707	APC4
APC7	FBgn0029879	APC7
ApepP	FBgn0026150	ApepP
Apf	FBgn0051713	Apf
CG10407	FBgn0038395	CG10407
aPKC	FBgn0261854	aPKC
aPKC	FBgn0261854	aPKC
Aprt	FBgn0000109	Aprt
MTA1-like	FBgn0027951	MTA1-like
aralar1	FBgn0028646	aralar1
Arc1	FBgn0033926	Arc1
Arc1	FBgn0033926	Arc1
