# submitted_item	validated_id	current_symbol
Q9U3Y9	FBgn0029514	312
P42207	FBgn0011710	Sep1
P54359	FBgn0014029	Sep2
Q7KLG8	FBgn0026361	Sep5
P32234	FBgn0010339	128up
P81928	FBgn0010340	140up
P92177-3	unknown ID	-
P92177-4	unknown ID	-
P29310-1	unknown ID	-
P29310-2	unknown ID	-
Q9V3U6	FBgn0250848	26-29-p
Q8T3K5	FBgn0053100	eIF4EHP
Q9VK43	FBgn0028965	A16
Q9V431	FBgn0286781	cass
Q8T9G8	FBgn0027094	AlaRS
Q9U6B6	unknown ID	-
Q9VXN4	FBgn0027093	ArgRS
Q9V434	FBgn0086443	AsnRS
Q7K0E6	FBgn0002069	AspRS
Q7KN90	FBgn0027091	CysRS
Q9Y105	FBgn0027090	GlnRS
P28668-1	unknown ID	-
Q961R8	FBgn0027088	GlyRS
Q8IQX8	FBgn0027087	HisRS
Q8MSW0	FBgn0027086	IleRS
Q9VZ82	FBgn0027085	LeuRS-m
Q8SXM8	FBgn0027084	LysRS
Q9VFL5	FBgn0027083	MetRS-m
O16129	FBgn0275436	PheRS-m
Q6NQW5	FBgn0027082	ProRS-m
O18406	FBgn0021750	SerRS-m
Q8IGC5	FBgn0027081	ThrRS
Q0KI98	FBgn0010803	TrpRS
Q9VV60	FBgn0027080	TyrRS
Q0E993	FBgn0027079	ValRS
Q9VSY6	FBgn0023129	aay
Q9Y0S9	FBgn0020510	Abi
Q9V3C0	FBgn0015331	abs
Q9VP61-1	unknown ID	-
Q9VLJ6	FBgn0016122	Acer
Q5BI37	FBgn0027620	Acf
A8DZ21	unknown ID	-
Q9W2G8	FBgn0034629	Acox57D-d
Q7K0I0	FBgn0034628	Acox57D-p
Q8I0P9	FBgn0000032	Acph-1
P02572	FBgn0000043	Act42A
P53501	FBgn0000044	Act57B
P10987	FBgn0000042	Act5C
P10981	FBgn0000046	Act87E
P83967	FBgn0000047	Act88F
O77268	FBgn0025625	Sik2
P18091-1	unknown ID	-
P18091-5	unknown ID	-
P45890	FBgn0011741	Arp6
Q9VHH7	FBgn0037661	Ada
Q8IGU1	FBgn0051865	Ada1-1
Q7K550	FBgn0027619	eIF3j
P35421	FBgn0000052	Pfas
P00967-1	unknown ID	-
Q9I7S8	FBgn0020513	Paics
P05552-1	unknown ID	-
Q9VVK5	FBgn0036752	Adgf-A
P00334	FBgn0000055	Adh
Q9U915	FBgn0283494	Ak2
Q9VGU6	FBgn0042094	Ak3
Q7K7W5	FBgn0000057	adp
A1ZB00	unknown ID	-
Q9VZF4	FBgn0041171	ago
Q27IR0	FBgn0262739	AGO1
Q9VUQ5-2	unknown ID	-
Q27580	FBgn0014455	Ahcy
Q9VQ79-2	unknown ID	-
Q7JYV7	FBgn0033754	Ak6
Q86BM5	FBgn0027932	Akap200
Q8INB9-1	unknown ID	-
O18680	FBgn0020764	Alas
A1Z7Q8	FBgn0260972	alc
P07764-1	unknown ID	-
