Flybase ID	Gene symbol	oocyte 2day_A	oocyte 2day_B	oocyte 2day_C	oocyte 8day_A	oocyte 8day_B	oocyte 8day_C	oocyte 12day_A	oocyte 12day_B	oocyte 12day_C	embryo 0-2hr_A	embryo 0-2hr_B	embryo 0-2hr_C	ttest 12 vs. 2 RPFs	fold change 12/2 RPFs
FBgn0032398	CG6766	95.2	96.2	98.1	30.9	22.0	29.7	18.1	20.2	14.1	310.0	318.1	295.5	2.32E-06	0.18
FBgn0051961	TBCC	182.8	186.6	181.5	125.6	128.6	112.1	82.3	76.2	74.9	79.9	92.5	98.2	2.67E-06	0.42
FBgn0040227	eIF3d1	292.2	300.3	285.0	141.0	163.2	148.2	108.8	110.0	103.4	934.6	841.1	770.3	2.86E-06	0.37
FBgn0014127	barr	269.6	256.2	257.8	119.0	147.0	134.9	97.5	91.8	94.8	605.4	602.4	507.8	3.27E-06	0.36
FBgn0039737	CG7920	138.6	131.3	136.4	69.5	75.1	59.4	49.0	49.8	51.9	871.5	713.4	506.3	3.37E-06	0.37
FBgn0015929	dpa	308.8	310.6	321.8	169.2	207.4	179.5	142.5	138.8	130.9	311.8	289.5	205.3	4.84E-06	0.44
FBgn0262114	RanBPM	150.8	153.6	159.2	77.3	78.1	86.5	39.5	40.4	32.2	190.5	196.6	164.7	5.07E-06	0.24
FBgn0030351	CG1840	256.1	255.9	249.4	132.6	147.0	164.0	81.9	66.1	65.9	197.4	156.7	214.8	5.82E-06	0.28
FBgn0013954	Fkbp12	5119.4	4942.2	5338.9	1999.3	2123.8	2041.4	1224.7	1341.3	1348.7	13293.9	13679.0	15343.6	6.06E-06	0.25
FBgn0039640	CG14516	355.0	340.9	366.6	195.1	193.6	194.1	110.8	110.9	102.1	270.6	213.0	194.3	6.60E-06	0.30
FBgn0001225	Hsp26	22596.0	21436.3	22882.7	15107.5	13217.8	13322.0	8379.5	7959.0	8341.7	17374.9	14048.7	11039.2	6.91E-06	0.37
FBgn0038809	CG16953	82.1	82.2	83.8	37.5	46.2	39.1	15.1	10.8	18.4	67.3	74.0	72.7	7.19E-06	0.18
FBgn0263006	SERCA	259.5	270.1	274.0	171.4	168.7	171.1	110.6	99.1	102.7	947.6	729.1	633.9	7.67E-06	0.39
FBgn0000044	Act57B	163.9	161.0	158.7	119.3	125.6	175.7	56.0	46.0	56.1	552.9	480.4	1247.1	7.73E-06	0.33
FBgn0031875	CG3430	240.5	245.1	231.7	100.7	124.6	104.3	86.9	74.3	80.9	372.7	361.9	348.3	7.85E-06	0.34
FBgn0037624	CG8223	781.4	778.3	815.0	442.7	392.6	471.1	219.1	241.4	269.1	2255.6	1933.4	1923.4	7.95E-06	0.31
FBgn0037530	EMC1	220.1	230.0	229.2	133.8	143.0	145.7	72.4	85.5	81.6	628.9	524.7	464.0	8.19E-06	0.35
FBgn0033812	Pex13	117.4	122.8	127.0	39.4	45.4	70.6	28.8	33.5	29.0	115.1	106.2	104.6	8.33E-06	0.25
FBgn0003449	snf	1001.5	992.4	1003.0	571.0	565.1	454.8	385.2	439.1	448.5	798.3	831.0	899.4	8.72E-06	0.42
FBgn0039073	CG4408	198.8	201.3	189.0	109.1	99.8	94.0	61.2	68.3	58.7	634.1	613.8	579.1	9.35E-06	0.32
FBgn0261859	CG42788	0.0	0.0	0.0	3.5	2.2	2.3	2.3	2.1	2.3	13.0	12.3	9.2	9.41E-06	NA
FBgn0250746	Prosbeta7	690.3	689.7	732.3	306.5	257.5	360.5	233.0	244.6	261.3	3268.6	2979.6	2790.2	9.60E-06	0.35
FBgn0001987	Gli	1.4	1.4	1.2	1.9	0.0	1.1	0.0	0.0	0.0	7.3	6.8	7.5	9.93E-06	0.00
FBgn0035592	CG10674	241.3	268.8	271.3	0.0	89.3	144.7	0.0	0.0	0.0	560.2	595.3	480.8	1.10E-05	0.00
FBgn0037652	CG11980	477.6	460.5	483.4	290.1	192.3	260.2	140.4	170.7	166.4	621.9	710.2	639.6	1.13E-05	0.34
FBgn0050349	CG30349	129.4	127.6	135.1	54.3	43.3	53.2	33.0	23.3	32.8	227.8	224.0	241.8	1.33E-05	0.23
FBgn0014391	sun	2430.5	2353.8	2534.9	1066.3	860.3	853.3	655.4	525.2	676.7	2795.9	3451.2	2961.9	1.35E-05	0.25
FBgn0040394	CG16903	56.1	54.1	56.5	40.5	36.4	35.4	27.2	29.9	28.5	220.2	252.0	228.8	1.41E-05	0.51
FBgn0034537	DMAP1	165.8	161.8	177.6	42.5	54.0	56.7	22.8	33.1	27.3	284.0	331.9	324.9	1.49E-05	0.16
