submitted_item	validated_id	current_symbol
26-29-p	FBgn0250848	26-29-p
Acox57D-d	FBgn0034629	Acox57D-d
alc	FBgn0260972	alc
alien	FBgn0013746	alien
alpha-Est3	FBgn0015571	alpha-Est3
alph	FBgn0086361	alph
Aos1	FBgn0029512	Aos1
AP-47	FBgn0024833	AP-1mu
APC7	FBgn0029879	APC7
ApepP	FBgn0026150	ApepP
aPKC	FBgn0261854	aPKC
Arc42	FBgn0038742	Arc42
asf1	FBgn0029094	asf1
asp	FBgn0000140	asp
asp	FBal0000773	asp[1]
Atg7	FBgn0034366	Atg7
aur	FBgn0000147	aurA
Axs	FBgn0000152	Axs
ball	FBgn0027889	ball
barr	FBgn0014127	barr
ben	FBgn0000173	ben
ben	FBgn0052594	be
bocksbeutel	FBgn0037719	bocks
BRWD3	FBgn0011785	BRWD3
bsk	FBgn0000229	bsk
Bub3	FBgn0025457	Bub3
BubR1	FBgn0263855	BubR1
cact	FBgn0000250	cact
Caf1-105	FBgn0033526	Caf1-105
Caf1	FBgn0033526	Caf1-105
Caf1	FBgn0036239	Pop2
Caf1	FBgn0030054	Caf1-180
Caf1	FBgn0263979	Caf1-55
Calx	FBgn0013995	Calx
CaMKII	FBgn0264607	CaMKII
cana	FBgn0040233	cana
CAP-D2	FBgn0039680	Cap-D2
CAP-D2	FBgn0051989	Cap-D3
capt	FBgn0261458	capt
casp	FBgn0034068	casp
CBP	FBgn0026144	CBP
CBP	FBgn0015218	eIF4E1
CBP	FBgn0261617	nej
Cdc27	FBgn0012058	Cdc27
cdc2	FBgn0004106	Cdk1
cdc2	FBgn0001086	fzy
Cdk5	FBgn0013762	Cdk5
Cdk7	FBgn0263237	Cdk7
CG10103	FBgn0035715	Ist1
CG10487	FBgn0052412	QC
CG10487	FBgn0052413	CG32413
CG10628	FBgn0032818	CG10628
CG10703	FBgn0037881	GCC88
CG1115	FBgn0037299	Vps37B
CG11190	FBgn0030035	PIG-T
CG11486	FBgn0035397	PAN3
CG11577	FBgn0036847	CNPYb
CG11739	FBgn0037239	Sfxn1-3
CG11788	FBgn0034495	CG11788
CG11851	FBgn0039293	Alg9
CG11882	FBgn0039642	CG11882
CG12018	FBgn0027903	Pol31
CG12090	FBgn0053971	Ir62a
CG12090	FBgn0035227	Iml1
CG1218	FBgn0037377	CG1218
CG12259	FBgn0039557	CG12259
CG12262	FBgn0035811	Mcad
CG12321	FBgn0038577	CG12321
CG12702	FBgn0031070	CG12702
CG1326	FBgn0052250	PMP34
CG1326	FBgn0052251	Claspin
CG13350	FBgn0033890	Ctf4
CG13366	FBgn0025633	CG13366
CG13373	FBgn0029522	CG13373
CG13638	FBgn0051357	CG31357
CG13638	FBgn0051118	RabX4
CG13879	FBgn0035120	wac
CG13907	FBgn0035173	CG13907
CG13914	FBgn0035209	msd1
CG14516	FBgn0039640	CG14516
CG14933	FBgn0040968	CG14933
CG1516	FBgn0027580	PCB
CG15220	FBgn0266421	RPA3
CG15237	FBgn0033104	CG15237
CG1582	FBgn0030246	CG1582
CG1599	FBgn0266186	Vamp7
CG1623	FBgn0033448	hebe
CG16804	FBgn0061359	CG33671
CG16804	FBgn0061360	CG33672
CG16892	FBgn0030122	Aladin
CG16953	FBgn0038809	CG16953
CG16974	FBgn0032479	CG16974
CG17260	FBgn0031498	CG17260
CG17337	FBgn0259979	Cndp2
CG17556	FBgn0038462	EMC2A
CG17746	FBgn0035425	CG17746
CG18190	FBgn0034403	CG18190
CG1890	FBgn0039869	CG1890
CG1943	FBgn0037468	CG1943
CG1957	FBgn0027873	Cpsf100
CG2004	FBgn0030060	CG2004
CG2051	FBgn0037376	Hat1
CG2097	FBgn0037371	Sym
CG2213	FBgn0035210	msd5
CG2246	FBgn0039790	CG2246
CG2493	FBgn0032864	CG2493
CG2608	FBgn0032870	CG2608
CG2990	FBgn0030170	CG2990
CG30022	FBgn0050022	CG30022
CG30105	FBgn0050105	CG30105
CG30118	FBgn0284257	Ttd14
CG30190	FBgn0261564	ReepA
CG30359	FBgn0050359	Mal-A5
CG3040	FBgn0029925	CG3040
CG31048	FBgn0264324	spg
CG31075	FBgn0051075	CG31075
CG31472	FBgn0051472	sgll
CG3168	FBgn0029896	CG3168
CG31919	FBgn0264742	CG44000
CG31919	FBgn0264743	CG44001
CG31961	FBgn0051961	TBCC
CG32251	FBgn0052251	Claspin
CG32549	FBgn0052549	CG32549
CG3295	FBgn0034573	CG3295
CG3305	FBgn0032949	Lamp1
CG33090	FBgn0028916	CG33090
CG33096	FBgn0053096	CG33096
CG33214	FBgn0264561	Glg1
CG33672	FBgn0061360	CG33672
CG3394	FBgn0034999	Fatp3
CG34001	FBgn0054001	CG34001
CG34261	FBgn0085290	CG34261
CG3501	FBgn0034791	EMC8-9
CG3509	FBgn0038252	BigH1
CG3609	FBgn0031418	CG3609
CG3773	FBgn0038692	Gdn1
CG3842	FBgn0029866	CG3842
CG42232	FBgn0250754	CG42232
CG4225	FBgn0038376	Hmt-1
CG4332	FBgn0030456	CG4332
CG4408	FBgn0039073	CG4408
CG4449	FBgn0039065	Rad60
CG4594	FBgn0032161	CG4594
CG4618	FBgn0035589	CHMP2B
CG4658	FBgn0032170	CG4658
CG4752	FBgn0034733	CG4752
CG5045	FBgn0032229	ClpP
CG5126	FBgn0031320	CG5126
CG5224	FBgn0034354	GstE11
CG5484	FBgn0039450	Yif1
CG5554	FBgn0034914	CG5554
CG5555	FBgn0038686	CG5555
CG5602	FBgn0262619	DNAlig1
CG5608	FBgn0038058	CG5608
CG5676	FBgn0032200	CG5676
CG5721	FBgn0034315	CG5721
CG5726	FBgn0034313	CG5726
CG5794	FBgn0039214	puf
CG5886	FBgn0039379	CG5886
CG5899	FBgn0032157	Etl1
CG5946	FBgn0036211	CG5946
CG6049	FBgn0037081	barc
CG6084	FBgn0086254	Akr1B
CG6153	FBgn0032445	CG6153
CG6206	FBgn0027611	LManII
CG6236	FBgn0038318	CG6236
CG6293	FBgn0037807	CG6293
CG6439	FBgn0038922	Idh3b
CG6461	FBgn0030932	Ggt-1
CG6491	FBgn0052066	CG32066
CG6597	FBgn0036967	SCCRO4
CG6617	FBgn0030944	CG6617
CG6638	FBgn0035911	CG6638
CG6662	FBgn0035907	GstO1
CG6664	FBgn0036685	CG6664
CG6697	FBgn0027526	Ublcp1
CG6718	FBgn0036053	iPLA2-VIA
CG6767	FBgn0036030	Prps
CG6907	FBgn0031711	CG6907
CG6927	FBgn0029733	CG6927
CG7231	FBgn0031968	CG7231
CG7261	FBgn0027509	TBCD
CG7280	FBgn0030966	shop
CG7322	FBgn0030968	CG7322
CG7601	FBgn0027583	CG7601
CG7639	FBgn0033989	CG7639
CG7740	FBgn0026189	promL
CG7828	FBgn0261112	APP-BP1
CG7842	FBgn0036691	beg
CG7861	FBgn0033055	Tbce
CG7966	FBgn0038115	CG7966
CG7997	FBgn0034117	CG7997
CG8111	FBgn0035825	CG8111
CG8142	FBgn0030871	CG8142
CG8184	FBgn0030674	HUWE1
CG8188	FBgn0030863	CG8188
CG8223	FBgn0037624	CG8223
CG8232	FBgn0033352	PAN2
CG8300	FBgn0029937	CG8300
CG8594	FBgn0033755	ClC-b
CG8632	FBgn0033762	ZnT49B
CG8680	FBgn0031684	ND-13A
CG8707	FBgn0033272	RagC-D
