# submitted_item	validated_id	current_symbol
dec1	FBgn0000427	dec-1
CG10623	FBgn0032727	CG10623
CG1077	FBgn0037405	CG1077
CG11381	FBgn0029568	CG11381
CG13083	FBgn0032789	CG13083
CG13084	FBgn0032788	CG13084
CG13114	FBgn0032127	CG13114
CG14309	FBgn0038611	CG14309
CG14834	FBgn0035768	CG14834
CG31928	FBgn0051928	CG31928
CG32642	FBgn0052642	CG32642
CG34333	FBgn0085362	Vml
CG34417	FBgn0085446	CG34417
CG4009	FBgn0038469	CG4009
CG5958	FBgn0031913	CG5958
CG6579	FBgn0032422	atilla
CG9336	FBgn0032897	CG9336
Cp15	FBgn0000355	Cp15
Cp16	FBgn0000356	Cp16
Cp18	FBgn0000357	Cp18
Cp19	FBgn0000358	Cp19
Cp36	FBgn0000359	Cp36
Cp38	FBgn0000360	Cp38
Cp7Fa	FBgn0014464	Cp7Fa
Cp7Fb	FBgn0014465	Cp7Fb
Cp7Fc	FBgn0014466	Cp7Fc
Fcp26Aa	FBgn0086265	psd
Fcp26Ac	FBgn0086266	Vm26Ac
Fcp3C	FBgn0000644	Fcp3C
Femcoat	FBgn0041252	Femcoat
Oat	FBgn0022774	Oat
Obp19c	FBgn0031111	Obp19c
Vm26Aa	FBgn0003979	Vm26Aa
Vm32E	FBgn0014076	Vm32E
Vm34Ca	FBgn0003983	Vm34Ca
Yp3	FBgn0004047	Yp3
yellow-g	FBgn0041709	yellow-g
yellow-g2	FBgn0035328	yellow-g2
Dec1	unknown ID	-
CG10623	FBgn0032727	CG10623
CG1077	FBgn0037405	CG1077
CG13083	FBgn0032789	CG13083
CG13084	FBgn0032788	CG13084
CG13114	FBgn0032127	CG13114
CG14309	FBgn0038611	CG14309
CG14834	FBgn0035768	CG14834
CG34333	FBgn0085362	Vml
CG34417	FBgn0085446	CG34417
CG4009	FBgn0038469	CG4009
CG5958	FBgn0031913	CG5958
CG6579	FBgn0032422	atilla
CG9336	FBgn0032897	CG9336
Cp15	FBgn0000355	Cp15
Cp16	FBgn0000356	Cp16
Cp18	FBgn0000357	Cp18
Cp19	FBgn0000358	Cp19
Cp36	FBgn0000359	Cp36
Cp38	FBgn0000360	Cp38
Cp7Fa	FBgn0014464	Cp7Fa
Cp7Fb	FBgn0014465	Cp7Fb
Cp7Fc	FBgn0014466	Cp7Fc
EG:BACR42I17.9	FBgn0040357	CG14624
Fcp26Aa	FBgn0086265	psd
Fcp3C	FBgn0000644	Fcp3C
Femcoat	FBgn0041252	Femcoat
Oat	FBgn0022774	Oat
Obp19c	FBgn0031111	Obp19c
Vm26Aa	FBgn0003979	Vm26Aa
Vm32E	FBgn0014076	Vm32E
Vm34Ca	FBgn0003983	Vm34Ca
yellow-g	FBgn0041709	yellow-g
yellow-g2	FBgn0035328	yellow-g2
CG10623	FBgn0032727	CG10623
CG13083	FBgn0032789	CG13083
CG13084	FBgn0032788	CG13084
CG13114	FBgn0032127	CG13114
CG14309	FBgn0038611	CG14309
CG14834	FBgn0035768	CG14834
CG34333	FBgn0085362	Vml
CG34417	FBgn0085446	CG34417
CG4009	FBgn0038469	CG4009
CG5958	FBgn0031913	CG5958
Cp15	FBgn0000355	Cp15
Cp16	FBgn0000356	Cp16
Cp18	FBgn0000357	Cp18
Cp19	FBgn0000358	Cp19
Cp36	FBgn0000359	Cp36
Cp38	FBgn0000360	Cp38
Cp7Fa	FBgn0014464	Cp7Fa
Cp7Fb	FBgn0014465	Cp7Fb
Cp7Fc	FBgn0014466	Cp7Fc
EG:BACR42I17.9	FBgn0040357	CG14624
Fcp26Aa	FBgn0086265	psd
Fcp26Ac	FBgn0086266	Vm26Ac
Fcp3C	FBgn0000644	Fcp3C
Oat	FBgn0022774	Oat
Obp19c	FBgn0031111	Obp19c
Vm26Aa	FBgn0003979	Vm26Aa
Vm34Ca	FBgn0003983	Vm34Ca
Yp1	FBgn0004045	Yp1
Yp2	FBgn0005391	Yp2
Yp3	FBgn0004047	Yp3
yellow-g	FBgn0041709	yellow-g
yellow-g2	FBgn0035328	yellow-g2
yl	FBgn0004649	yl
312	FBgn0029514	312
312	FBgn0262450	mir-312
312	FBal0268654	Nsf2[lotus-312]
Sep1	FBgn0011710	Sep1
Sep2	FBgn0014029	Sep2
Sep5	FBgn0026361	Sep5
128up	FBgn0010339	128up
140up	FBgn0010340	140up
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3epsilon	FBgn0020238	14-3-3epsilon
14-3-3zeta	FBgn0004907	14-3-3zeta
14-3-3zeta	FBgn0004907	14-3-3zeta
26-29-p	FBgn0250848	26-29-p
4EHP	FBgn0053100	eIF4EHP
A16	FBgn0028965	A16
A16	FBab0001868	Df(2L)pr-A16
Aac11	FBgn0286781	cass
Aats-ala	FBgn0027094	AlaRS
Aats-ala-m	FBgn0028962	AlaRS-m
Aats-arg	FBgn0027093	ArgRS
Aats-asn	FBgn0086443	AsnRS
Aats-asp	FBgn0002069	AspRS
Aats-cys	FBgn0027091	CysRS
Aats-gln	FBgn0027090	GlnRS
Aats-glupro	FBgn0005674	GluProRS
Aats-gly	FBgn0027088	GlyRS
Aats-his	FBgn0027087	HisRS
Aats-ile	FBgn0027086	IleRS
Aats-leu	FBgn0027085	LeuRS-m
Aats-lys	FBgn0027084	LysRS
Aats-met	FBgn0027083	MetRS-m
Aats-phe	FBgn0275436	PheRS-m
Aats-pro	FBgn0027082	ProRS-m
Aats-ser	FBgn0021750	SerRS-m
Aats-thr	FBgn0027081	ThrRS
Aats-trp	FBgn0010803	TrpRS
Aats-tyr	FBgn0027080	TyrRS
Aats-val	FBgn0027079	ValRS
aay	FBgn0023129	aay
Abi	FBgn0020510	Abi
abs	FBgn0015331	abs
AcCoAS	FBgn0012034	AcCoAS
Acer	FBgn0016122	Acer
Acf1	FBgn0027620	Acf
Acon	FBgn0010100	mAcon1
Acox57D-d	FBgn0034629	Acox57D-d
Acox57D-p	FBgn0034628	Acox57D-p
Acph-1	FBgn0000032	Acph-1
Act42A	FBgn0000043	Act42A
Act57B	FBgn0000044	Act57B
Act5C	FBgn0000042	Act5C
Act5C	FBtp0039453	P{Act5C-GAL4.U}
Act87E	FBgn0000046	Act87E
Act88F	FBgn0000047	Act88F
Actn	FBgn0000667	Actn
Actn	FBgn0000667	Actn
Actn	FBgn0000667	Actn
Actr13E	FBgn0011741	Arp6
Ada	FBgn0037661	Ada
