From	To	Species	Gene Name
Q7KJ73	FBgn0029506	Drosophila melanogaster	Tetraspanin 42Ee(Tsp42Ee)
Q9VUI8	FBgn0036460	Drosophila melanogaster	CG5114 gene product from transcript CG5114-RB(CG5114)
Q8MYV0	FBgn0036927	Drosophila melanogaster	CG7433 gene product from transcript CG7433-RC(CG7433)
Q8MYV1	FBgn0034817	Drosophila melanogaster	Arginine methyltransferase 7(Art7)
O96643	FBgn0015781	Drosophila melanogaster	Pyrroline 5-carboyxlate reductase(P5cr)
Q9VUI0	FBgn0001120	Drosophila melanogaster	giant nuclei(gnu)
P14130	FBgn0004403	Drosophila melanogaster	Ribosomal protein S14a(RpS14a)
Q9VLJ9	FBgn0032053	Drosophila melanogaster	mitochondrial ribosomal protein L51(mRpL51)
Q9VLJ6	FBgn0016122	Drosophila melanogaster	Angiotensin-converting enzyme-related(Acer)
Q7JXU4	FBgn0034243	Drosophila melanogaster	Nucleostemin ortholog (H. sapiens) 2(Ns2)
Q9VLJ5	FBgn0085470	Drosophila melanogaster	lemming B(lmgB)
B7Z0W0	FBgn0267698	Drosophila melanogaster	p21-activated kinase(Pak)
Q9VLJ0	FBgn0032059	Drosophila melanogaster	Prenyl-binding protein(PrBP)
Q8SZY9	FBgn0052075	Drosophila melanogaster	CG32075 gene product from transcript CG32075-RA(CG32075)
O02002	FBgn0010501	Drosophila melanogaster	Death caspase-1(Dcp-1)
O44252	FBgn0011705	Drosophila melanogaster	rolling stone(rost)
Q9VHE4	FBgn0037687	Drosophila melanogaster	CG8132 gene product from transcript CG8132-RA(CG8132)
Q9VHE3	FBgn0037688	Drosophila melanogaster	CG9356 gene product from transcript CG9356-RA(CG9356)
O96651	FBgn0026015	Drosophila melanogaster	Topoisomerase 3beta(Top3beta)
Q9VHE5	FBgn0037686	Drosophila melanogaster	Ribosomal protein L34b(RpL34b)
Q8MYW1	FBgn0037873	Drosophila melanogaster	Succinate dehydrogenase, subunit C(SdhC)
Q9VUJ0	FBgn0036462	Drosophila melanogaster	mitochondrial ribosomal protein L39(mRpL39)
Q95R68	FBgn0030289	Drosophila melanogaster	Glucosidase 1(GCS1)
