submitted_item	validated_id	current_symbol
alpha-Spec	FBgn0250789	alpha-Spec
AnnIX	FBgn0000083	AnxB9
AP-50	FBgn0263351	AP-2mu
Arf51F	FBgn0013750	Arf51F
Atg9	FBgn0034110	Atg9
Bsg	FBgn0261822	Bsg
c12.1	FBgn0040235	c12.1
CalpA	FBgn0012051	CalpA
ced-6	FBgn0029092	ced-6
CG10191	FBgn0036354	Poc1
CG10336	FBgn0032698	CG10336
CG10407	FBgn0038395	CG10407
CG1041	FBgn0037440	CRAT
CG10590	FBgn0035622	TM9SF3
CG10992	FBgn0030521	CtsB1
CG11151	FBgn0030519	CG11151
CG11284	FBgn0030056	CAH3
CG11314	FBgn0039800	Npc2g
CG11395	FBgn0034200	Gbp2
CG11737	FBgn0037592	CG11737
CG12093	FBgn0035372	CG12093
CG12130	FBgn0283510	Pal1
CG12928	FBgn0261016	clos
CG13083	FBgn0032789	CG13083
CG13299	FBgn0035694	CG13299
CG1347	FBgn0037363	Atg17
CG14103	FBgn0036908	TORIP
CG14103	FBgn0083952	CG34116
CG15098	FBgn0034398	CG15098
CG15369	FBgn0030105	CG15369
CG15737	FBgn0260780	wisp
CG15820	FBgn0035312	CG15820
CG1648	FBgn0033446	CG1648
CG16742	FBgn0034529	FAM21
CG16812	FBgn0032488	CG16812
CG1681	FBgn0030484	GstT4
CG17271	FBgn0038829	CG17271
CG17486	FBgn0032997	CG17486
CG17565	FBgn0038424	CG17565
CG17896	FBgn0023537	CG17896
CG2794	FBgn0031265	CG2794
CG2931	FBgn0037342	CG2931
CG30497	FBgn0286778	CG46385
CG3061	FBgn0038195	CG3061
CG31195	FBgn0051195	CG31195
CG32000	FBgn0052000	anne
CG33156	FBgn0053156	CG33156
CG34125	FBgn0083961	CG34125
CG34150	FBgn0083986	CG34150
CG34364	FBgn0261016	clos
CG3493	FBgn0034854	Golgin245
CG3632	FBgn0030735	CG3632
CG3947	FBgn0037019	Pex16
CG40160	FBgn0058160	CG40160
CG42314	FBgn0259214	PMCA
CG4267	FBgn0264979	CG4267
CG4572	FBgn0038738	CG4572
CG4666	FBgn0029838	CG4666
CG5009	FBgn0027572	CG5009
