submitted_item	validated_id	current_symbol
CG4260	FBgn0264855	AP-2alpha
CG6631	FBgn0262167	ana1
CG6137	FBgn0000146	aub
CG7926	FBgn0026597	Axn
CG8598	FBgn0035766	eco
CG42572	FBgn0260959	MCPH1
CG32491	FBgn0002781	mod(mdg4)
CG32491	FBgn0002781	mod(mdg4)
CG1216	FBgn0035107	mri
CG16973	FBgn0010909	msn
CG9311	FBgn0036448	mop
CG17704	FBgn0026401	Nipped-B
CG17704	FBgn0026401	Nipped-B
CG7070	FBgn0267385	PyK
CG12819	FBgn0037810	sle
CG14542	FBgn0039402	Vps2
CG13388	FBgn0027932	Akap200
CG8308	FBgn0087040	alphaTub67C
CG30122	FBgn0050122	CG30122
CG32088	FBgn0052088	sunn
CG3689	FBgn0035987	Cpsf5
CG8223	FBgn0037624	CG8223
CG6692	FBgn0013770	Cp1
CG6542	FBgn0027506	EDTP
CG3697	FBgn0002707	mei-9
CG2050	FBgn0002780	mod
CG32190	FBgn0052190	NUCB1
CG4720	FBgn0014006	Ask1
CG4720	FBgn0014006	Ask1
CG9183	FBgn0003114	plu
CG31293	FBgn0003227	rec
CG2246	FBgn0039790	CG2246
CG6254	FBgn0037794	CG6254
CG9841	FBgn0034627	eEFSec
CG12749	FBgn0004237	Hrb87F
CG5330	FBgn0015268	Nap1
CG5581	FBgn0266420	Ote
CG1799	FBgn0003204	ras
CG6811	FBgn0036257	RhoGAP68F
CG6129	FBgn0039152	Root
CG6386	FBgn0027889	ball
CG31132	FBgn0011785	BRWD3
CG5602	FBgn0262619	DNAlig1
CG9556	FBgn0013746	alien
CG9609	FBgn0030787	CG9609
CG3504	FBgn0001263	inaD
CG4206	FBgn0284442	Mcm3
CG7752	FBgn0259785	pzg
CG9273	FBgn0032906	RPA2
CG18076	FBgn0013733	shot
CG13570	FBgn0015544	spag
CG11451	FBgn0037025	Spc105R
CG8409	FBgn0003607	Su(var)205
CG8409	FBgn0003607	Su(var)205
CG2331	FBgn0286784	TER94
CG12359	FBgn0027603	Ulp1
CG31196	FBgn0020238	14-3-3epsilon
CG31196	FBgn0020238	14-3-3epsilon
CG10542	FBgn0086694	Bre1
CG2915	FBgn0033241	CG2915
CG9745	FBgn0000412	D1
CG32156	FBgn0005536	Mbs
CG15415	FBgn0031549	Spindly
CG2331	FBgn0286784	TER94
CG18076	FBgn0013733	shot
CG5602	FBgn0262619	DNAlig1
CG4206	FBgn0284442	Mcm3
CG31196	FBgn0020238	14-3-3epsilon
CG31196	FBgn0020238	14-3-3epsilon
CG6386	FBgn0027889	ball
CG15415	FBgn0031549	Spindly
CG11451	FBgn0037025	Spc105R
CG32156	FBgn0005536	Mbs
CG10542	FBgn0086694	Bre1
CG2915	FBgn0033241	CG2915
CG8409	FBgn0003607	Su(var)205
CG7752	FBgn0259785	pzg
CG13570	FBgn0015544	spag
CG9273	FBgn0032906	RPA2
CG9609	FBgn0030787	CG9609
CG31132	FBgn0011785	BRWD3
CG12359	FBgn0027603	Ulp1
CG3504	FBgn0001263	inaD
CG9556	FBgn0013746	alien
CG9745	FBgn0000412	D1
CG8439	FBgn0010621	CCT5
CG2263	FBgn0030007	alpha-PheRS
CG31368	FBgn0051368	CG31368
CG7597	FBgn0037093	Cdk12
CG9946	FBgn0261609	eIF2alpha
CG10315	FBgn0034858	eIF2Bdelta
CG9075	FBgn0001942	eIF4A
CG10840	FBgn0026259	eIF5B
CG7269	FBgn0014189	Hel25E
CG5738	FBgn0022238	lolal
CG3845	FBgn0010488	NAT1
CG6751	FBgn0263510	nclb
CG1519	FBgn0023175	Prosalpha7
CG7434	FBgn0015288	RpL22
CG10230	FBgn0028691	Rpn9
CG10955	FBgn0034722	Rtf1
CG5505	FBgn0260936	scny
CG5505	FBgn0260936	scny
CG8309	FBgn0033902	eIF3m
CG8351	FBgn0037632	CCT7
CG1782	FBgn0023143	Uba1
CG7528	FBgn0029113	Uba2
CG18124	FBgn0028530	mTTF
CG10230	FBgn0028691	Rpn9
CG5505	FBgn0260936	scny
CG5505	FBgn0260936	scny
CG7269	FBgn0014189	Hel25E
CG1519	FBgn0023175	Prosalpha7
CG6751	FBgn0263510	nclb
CG2263	FBgn0030007	alpha-PheRS
CG8439	FBgn0010621	CCT5
CG5738	FBgn0022238	lolal
CG8351	FBgn0037632	CCT7
CG10955	FBgn0034722	Rtf1
CG7528	FBgn0029113	Uba2
CG8309	FBgn0033902	eIF3m
CG31368	FBgn0051368	CG31368
CG3845	FBgn0010488	NAT1
CG10840	FBgn0026259	eIF5B
CG9946	FBgn0261609	eIF2alpha
CG1782	FBgn0023143	Uba1
CG7434	FBgn0015288	RpL22
