CG number	phenotype class
CG4260	Class 6
CG6631	Class 6
CG6137	Class 6
CG7926	Class 6
CG8598	Class 6
CG42572	Class 6
CG32491	Class 6
CG32491	Class 6
CG1216	Class 6
CG16973	Class 6
CG9311	Class 6
CG17704	Class 6
CG17704	Class 6
CG7070	Class 6
CG12819	Class 6
CG14542	Class 6
CG13388	Class 6
CG8308	Class 6
CG30122	Class 6
CG32088	Class 6
CG3689	Class 6
CG8223	Class 6
CG6692	Class 6
CG6542	Class 6
CG3697	Class 6
CG2050	Class 6
CG32190	Class 6
CG4720	Class 6
CG4720	Class 6
CG9183	Class 6
CG31293	Class 6
CG2246	Class 2
CG6254	Class 2
CG9841	Class 2
CG12749	Class 2
CG5330	Class 2
CG5581	Class 2
CG1799	Class 2
CG6811	Class 2
CG6129	Class 2
CG6386	Class 3
CG31132	Class 3
CG5602	Class 3
CG9556	Class 3
CG9609	Class 3
CG3504	Class 3
CG4206	Class 3
CG7752	Class 3
CG9273	Class 3
CG18076	Class 3
CG13570	Class 3
CG11451	Class 3
CG8409	Class 3
CG8409	Class 3
CG2331	Class 3
CG12359	Class 3
CG31196	Class 3
CG31196	Class 3
CG10542	Class 3
CG2915	Class 3
CG9745	Class 3
CG32156	Class 3
CG15415	Class 3
CG2331	Class 3
CG18076	Class 3
CG5602	Class 3
CG4206	Class 3
CG31196	Class 3
CG31196	Class 3
CG6386	Class 3
CG15415	Class 3
CG11451	Class 3
CG32156	Class 3
CG10542	Class 3
CG2915	Class 3
CG8409	Class 3
CG7752	Class 3
CG13570	Class 3
CG9273	Class 3
CG9609	Class 3
CG31132	Class 3
CG12359	Class 3
CG3504	Class 3
CG9556	Class 3
CG9745	Class 3
CG8439	Class 4
CG2263	Class 4
CG31368	Class 4
CG7597	Class 4
CG9946	Class 4
CG10315	Class 4
CG9075	Class 4
CG10840	Class 4
CG7269	Class 4
CG5738	Class 4
CG3845	Class 4
CG6751	Class 4
CG1519	Class 4
CG7434	Class 4
CG10230	Class 4
CG10955	Class 4
CG5505	Class 4
CG5505	Class 4
CG8309	Class 4
CG8351	Class 4
CG1782	Class 4
CG7528	Class 4
CG18124	Class 4
CG10230	Class 4
CG5505	Class 4
CG5505	Class 4
CG7269	Class 4
CG1519	Class 4
CG6751	Class 4
CG2263	Class 4
CG8439	Class 4
CG5738	Class 4
CG8351	Class 4
CG10955	Class 4
CG7528	Class 4
CG8309	Class 4
CG31368	Class 4
CG3845	Class 4
CG10840	Class 4
CG9946	Class 4
CG1782	Class 4
CG7434	Class 4
CG9075	Class 4
CG7597	Class 4
CG10315	Class 4
CG10473	Class 5
CG10473	Class 5
CG17870	Class 1
CG8947	Class 1
CG16720	Class 1
CG11188	Class 1
CG5712	Class 1
CG1070	Class 1
CG1906	Class 1
CG1451	Class 1
CG6877	Class 1
CG9097	Class 1
CG13425	Class 1
CG5529	Class 1
CG8276	Class 1
CG12019	Class 1
CG10011	Class 1
CG10083	Class 1
CG10101	Class 1
CG10103	Class 1
CG10417	Class 1
CG10588	Class 1
CG11395	Class 1
CG11414	Class 1
CG13151	Class 1
CG13350	Class 1
CG13907	Class 1
CG14184	Class 1
CG14446	Class 1
CG14749	Class 1
CG1647	Class 1
CG1804	Class 1
CG18190	Class 1
CG18259	Class 1
CG18659	Class 1
CG1910	Class 1
CG2774	Class 1
CG30101	Class 1
CG30115	Class 1
CG32206	Class 1
CG32626	Class 1
CG34356	Class 1
CG3511	Class 1
CG42669	Class 1
CG42748	Class 1
CG4912	Class 1
CG4968	Class 1
CG5094	Class 1
CG5245	Class 1
CG5384	Class 1
CG5527	Class 1
CG5880	Class 1
CG5921	Class 1
CG6509	Class 1
CG7565	Class 1
CG8209	Class 1
CG8909	Class 1
CG9601	Class 1
CG9705	Class 1
CG9705	Class 1
CG9727	Class 1
CG11958	Class 1
CG2207	Class 1
CG42799	Class 1
CG10837	Class 1
CG10192	Class 1
CG10192	Class 1
CG10192	Class 1
CG16932	Class 1
CG16932	Class 1
CG4535	Class 1
CG7004	Class 1
CG11086	Class 1
CG5520	Class 1
CG8384	Class 1
CG3373	Class 1
CG2947	Class 1
CG2947	Class 1
CG6603	Class 1
CG4183	Class 1
CG4466	Class 1
CG1274	Class 1
CG3654	Class 1
CG6217	Class 1
CG8597	Class 1
CG42551	Class 1
CG42551	Class 1
CG32156	Class 1
CG7162	Class 1
CG32464	Class 1
CG11156	Class 1
CG17255	Class 1
CG1721	Class 1
CG2049	Class 1
CG8169	Class 1
CG4532	Class 1
CG17291	Class 1
CG7913	Class 1
CG4904	Class 1
CG9181	Class 1
CG9412	Class 1
CG40494	Class 1
CG4755	Class 1
CG9774	Class 1
CG9774	Class 1
CG13349	Class 1
CG18572	Class 1
CG6939	Class 1
CG6987	Class 1
CG6369	Class 1
CG16725	Class 1
CG1982	Class 1
CG4602	Class 1
CG31641	Class 1
CG31764	Class 1
CG8390	Class 1
CG4548	Class 1
CG3994	Class 1
CG13388	NA
CG7597	NA
CG5330	NA
CG5505	NA
