"Checked"	"Protein FDR Confidence Combined"	"Master"	"Protein Group IDs"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Mascot A5 Mascot"	"Number of Peptides by Search Engine A5 Mascot"	"Number of Razor Peptides"	"Abundance F1 127N Sample 1 unmated"	"Abundance F1 128N Sample 2 unmated"	"Abundance F1 129N Sample 1 mated"	"Abundance F1 129C Sample 3 unmated"	"Abundance F1 130N Sample 2 mated"	"Abundance F1 130C Sample 3 mated"	"Found in Sample in S1 F1 127N Sample 1 unmated"	"Found in Sample in S2 F1 128N Sample 2 unmated"	"Found in Sample in S3 F1 129N Sample 1 mated"	"Found in Sample in S4 F1 129C Sample 3 unmated"	"Found in Sample in S5 F1 130N Sample 2 mated"	"Found in Sample in S6 F1 130C Sample 3 mated"	"Number of Protein Groups"
"False"	"High"	"IsMasterProtein"	"3349"	"FBgn0087002"	"FBgn0087002"	"0.000"	"793.126"	"51"	"163"	"445"	"163"	"3351"	"372.4"	"7.97"	"8395"	"163"	"0"	"71139.1"	"76346.4"	"83685.2"	"57466.6"	"70223.6"	"54894.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2916"	"FBgn0041775"	"FBgn0041775"	"0.000"	"719.208"	"67"	"34"	"578"	"34"	"657"	"69.8"	"9.48"	"18117"	"34"	"0"	"33457.3"	"33301.1"	"44526.5"	"28376.3"	"39966.3"	"33557.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"22"	"FBgn0004045"	"FBgn0004045"	"0.000"	"570.349"	"87"	"36"	"1028"	"35"	"439"	"48.7"	"7.69"	"16096"	"36"	"0"	"92805.0"	"89425.9"	"114445.6"	"63221.1"	"105801.4"	"85150.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4380"	"FBgn0005391"	"FBgn0005391"	"0.000"	"550.701"	"85"	"38"	"1087"	"37"	"442"	"49.6"	"7.96"	"17471"	"38"	"2"	"80138.3"	"79640.5"	"105629.8"	"56830.8"	"94708.0"	"76313.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5095"	"FBgn0261797"	"FBgn0261797"	"0.000"	"517.008"	"37"	"159"	"228"	"159"	"4661"	"532.3"	"6.35"	"4755"	"159"	"0"	"34269.3"	"32885.7"	"42170.1"	"29486.2"	"32642.4"	"27953.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"288"	"FBgn0000427"	"FBgn0000427"	"0.000"	"467.520"	"46"	"56"	"307"	"56"	"1590"	"179.1"	"6.30"	"8330"	"56"	"0"	"25497.7"	"24888.6"	"40515.8"	"24239.5"	"36650.0"	"30287.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1393"	"FBgn0001233"	"FBgn0001233"	"0.000"	"460.971"	"64"	"53"	"429"	"53"	"717"	"81.8"	"5.02"	"7864"	"53"	"0"	"60403.4"	"59278.2"	"80078.5"	"47597.5"	"66968.4"	"55008.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2974"	"FBgn0266599"	"FBgn0266599"	"0.000"	"438.069"	"79"	"50"	"453"	"41"	"651"	"71.1"	"5.52"	"8782"	"50"	"23"	"57562.0"	"58054.1"	"78906.3"	"44565.6"	"66623.9"	"54597.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2813"	"FBgn0000392"	"FBgn0000392"	"0.000"	"436.980"	"64"	"50"	"206"	"50"	"1117"	"125.6"	"8.85"	"4701"	"50"	"0"	"23928.5"	"23500.1"	"29838.0"	"19388.9"	"26370.6"	"21786.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1628"	"FBgn0261710"	"FBgn0261710"	"0.000"	"418.834"	"45"	"72"	"180"	"72"	"2309"	"235.4"	"9.22"	"6395"	"72"	"0"	"17028.2"	"15375.1"	"18444.6"	"14195.4"	"17220.6"	"14137.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3414"	"FBgn0039302"	"FBgn0039302"	"0.000"	"393.668"	"35"	"81"	"168"	"81"	"2718"	"298.7"	"6.11"	"3898"	"81"	"0"	"22759.8"	"19043.8"	"27286.9"	"18799.1"	"21420.9"	"17699.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3645"	"FBgn0004047"	"FBgn0004047"	"0.000"	"389.966"	"88"	"37"	"833"	"37"	"420"	"46.1"	"8.50"	"11038"	"37"	"0"	"89280.7"	"79462.0"	"95786.7"	"60724.2"	"89412.4"	"73290.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1128"	"FBgn0011230"	"FBgn0011230"	"0.000"	"381.700"	"25"	"117"	"154"	"117"	"5322"	"590.3"	"6.38"	"3167"	"117"	"0"	"22789.6"	"21569.0"	"26061.5"	"19470.9"	"21035.0"	"18382.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1948"	"FBgn0004167"	"FBgn0004167"	"0.000"	"380.639"	"33"	"126"	"141"	"126"	"4337"	"497.2"	"6.47"	"2847"	"126"	"0"	"16934.9"	"15678.6"	"20300.5"	"14859.9"	"17805.9"	"14979.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"529"	"FBgn0000559"	"FBgn0000559"	"0.000"	"356.994"	"70"	"53"	"314"	"53"	"844"	"94.4"	"6.60"	"5845"	"53"	"0"	"43056.5"	"41499.6"	"58805.3"	"36664.4"	"45883.2"	"39841.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"697"	"FBgn0265434"	"FBgn0265434"	"0.000"	"352.073"	"41"	"88"	"148"	"88"	"2056"	"236.5"	"5.62"	"3633"	"88"	"0"	"17710.9"	"17389.2"	"20519.7"	"14874.9"	"18300.3"	"14985.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3445"	"FBgn0261987"	"FBgn0261987"	"0.000"	"344.799"	"75"	"42"	"202"	"42"	"809"	"90.5"	"6.90"	"3827"	"42"	"0"	"22426.3"	"22747.6"	"28294.8"	"19513.3"	"24624.7"	"20523.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2278"	"FBgn0023213"	"FBgn0023213"	"0.000"	"339.140"	"39"	"65"	"165"	"64"	"1919"	"211.0"	"8.35"	"4088"	"65"	"1"	"20836.8"	"19355.9"	"26008.3"	"16451.1"	"22689.5"	"18909.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1980"	"FBgn0004649"	"FBgn0004649"	"0.000"	"336.462"	"45"	"68"	"185"	"68"	"1984"	"219.4"	"6.20"	"4902"	"68"	"0"	"22763.2"	"21761.4"	"30210.8"	"20161.0"	"23650.1"	"20453.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"348"	"FBgn0250754"	"FBgn0250754"	"0.000"	"334.228"	"37"	"103"	"116"	"103"	"3441"	"378.4"	"4.93"	"2172"	"103"	"0"	"14253.8"	"12664.9"	"16205.8"	"10760.4"	"14633.1"	"12566.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"542"	"FBgn0261014"	"FBgn0261014"	"0.000"	"323.578"	"72"	"51"	"171"	"51"	"826"	"92.0"	"5.38"	"4248"	"51"	"0"	"20036.1"	"19120.9"	"23042.0"	"15872.6"	"20412.6"	"16790.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1863"	"FBgn0036663"	"FBgn0036663"	"0.000"	"323.226"	"47"	"83"	"145"	"83"	"2115"	"232.1"	"6.42"	"3304"	"83"	"0"	"20028.0"	"18651.6"	"24070.3"	"18108.1"	"18602.6"	"16318.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
