Symbol	Uniprot_ID	Norm.Ratio.1	Norm.Ratio.2	Norm.Ratio.3
312	Q9U3Y9	-0.4632039	0.4150014	NaN
Sep1	P42207	-1.533862	-1.585626	-1.837687
Sep2	P54359	-0.3895667	-0.5272627	-0.3009637
Sep5	Q7KLG8			1.191878
128up	P32234	0.08309541	-0.6935511	-0.2889457
140up	P81928	0.8160118	0.6170163	0.1162316
14-3-3epsilon	P92177-3	-0.07806332	-0.2775515	
14-3-3epsilon	P92177-4	0.7336032		0.1861201
14-3-3zeta	P29310-1	0.06063798	-0.1685929	-0.1720834
14-3-3zeta	P29310-2	-0.01006364	-0.1924967	0.06488286
26-29-p	Q9V3U6	0.776701	0.5205479	0.9503191
4EHP	Q8T3K5	-0.1368475		-0.1203569
A16	Q9VK43	-0.1037997		0.4269625
Aac11	Q9V431	-0.5983652	-0.4290709	-0.62814
Aats-ala	Q8T9G8	0.02070626	0.1592417	-0.001920088
Aats-ala-m	Q9U6B6	0.2617942	-1.497405	-0.5096352
Aats-arg	Q9VXN4	-0.1235338	0.1159654	-0.0314152
Aats-asn	Q9V434	-0.002162436	-0.1010874	0.1282935
Aats-asp	Q7K0E6	-0.2686739	0.04851514	-0.001197926
Aats-cys	Q7KN90	0.6971019	-0.05389804	0.2055176
Aats-gln	Q9Y105	0.4576726	-0.02617566	0.1448295
Aats-glupro	P28668-1	-0.1264442	-0.06772712	-0.02951446
Aats-gly	Q961R8	0.08578761	0.5567972	0.2017593
Aats-his	Q8IQX8	0.06710728	-0.06562694	0.1696685
Aats-ile	Q8MSW0	-0.1964812	-0.1799559	0.003458378
Aats-leu	Q9VZ82	0.2413386	0.6588284	0.03969989
Aats-lys	Q8SXM8	0.9566275	-0.04633993	-0.03648148
Aats-met	Q9VFL5	1.457157	0.04586229	0.4523845
Aats-phe	O16129	NaN	-0.6692351	NaN
Aats-pro	Q6NQW5	-0.4919043		
Aats-ser	O18406	-0.5111644		0.01777946
Aats-thr	Q8IGC5	0.1212511	0.02856912	0.1265764
Aats-trp	Q0KI98	-0.3368547	-0.1644639	-0.1227269
Aats-tyr	Q9VV60	-0.4221253	-0.212484	-0.1843918
Aats-val	Q0E993	-0.2224336	0.038998	-0.1117263
aay	Q9VSY6	-0.609755	-1.340075	-1.525081
Abi	Q9Y0S9	-0.8980148		-0.03714749
abs	Q9V3C0	0.04968092	-0.4924236	-0.689404
AcCoAS	Q9VP61-1	-1.575554	-0.2726284	-0.5033025
Acer	Q9VLJ6	3.301159	3.137864	2.376068
Acf1	Q5BI37	0.5214734	0.3875831	0.3635636
Acon	A8DZ21	0.1176308	0.2733369	0.3198492
