Accession	log2FC	t.ord	t.mod	p.ord	p.mod	q.ord	q.mod	sig	comparison	Description	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways
A0A023GRW3	0.261850471531122	1.82842596796886	2.29854811121965	0.1172435649297	0.0264973246924752	0.173828971633482	0.0701571243873239	NO	Egg_WT - Oocyte_WT	CG4896-PD, isoform D OS=Drosophila melanogaster GN=CG4896 PE=4 SV=1	regulation of biological process		metal ion binding;RNA binding	Pf00076, Pf00641, Pf01585, Pf12656, Pf13893, Pf14259	33305	FBgn0031319	CG4896	2L	
A0A075E6K7	-0.0508485074201923	-0.263085753347345	-0.410438480537421	0.801285615265623	0.683539478582699	0.473498734485929	0.45425107948693	NO	Egg_WT - Oocyte_WT	Cytochrome c oxidase subunit 1 (Fragment) OS=Drosophila melanogaster GN=COX1 PE=3 SV=1	metabolic process;transport	membrane;mitochondrion	catalytic activity;metal ion binding;transporter activity	Pf00115	19893533	FBgn0013674	COX1	MT; dmel_mitochondrion_genome	Oxidative phosphorylation; Metabolic pathways
A0A0B4JCU8	0.0663587734480569	0.760008352542204	0.628025601808616	0.476041706546617	0.533336558995181	0.35193067165961	0.395952593165655	NO	Egg_WT - Oocyte_WT	3-hydroxyisobutyrate dehydrogenase OS=Drosophila melanogaster GN=CG15093 PE=1 SV=1	metabolic process	mitochondrion	catalytic activity;nucleotide binding	Pf01408, Pf03446, Pf03721, Pf03807, Pf14833	37166	FBgn0034390	CG15093	2R	Metabolic pathways; Valine, leucine and isoleucine degradation
A0A0B4JCY6	-0.601383161204906	-8.68606122150109	-5.79584922049527	0.000128542366334261	7.43658403203774e-07	0.00629567317947218	1.71972318162437e-05	YES	Egg_WT - Oocyte_WT	Cheerio, isoform I OS=Drosophila melanogaster GN=cher PE=1 SV=1	cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport	cytoskeleton;cytosol;membrane;nucleus	protein binding	Pf00307, Pf00630	42066	FBgn0014141	cher	3R	
A0A0B4JCZ4	-0.023872265842753	-0.234141680040271	-0.222083845558641	0.822659868969794	0.825308888550036	0.48073887913482	0.502529100216157	NO	Egg_WT - Oocyte_WT	Syntaxin 1A, isoform B OS=Drosophila melanogaster GN=Syx1A PE=3 SV=1	cell communication;cell organization and biogenesis;regulation of biological process;transport	membrane	protein binding	Pf00804, Pf05739	42854	FBgn0013343	Syx1A	3R	
A0A0B4JCZ8	0.700211999341994	3.56412373323095	5.6200867756416	0.0118679677999147	1.33425104295541e-06	0.0728411704240961	2.76223841799796e-05	YES	Egg_WT - Oocyte_WT	Missing-in-metastasis, isoform F OS=Drosophila melanogaster GN=mim PE=4 SV=1	cell organization and biogenesis;cellular component movement;regulation of biological process		protein binding	Pf08397	2768716	FBgn0053558	mim	2R	
A0A0B4JD11	0.120541218959245	1.69404344508904	1.15967834246827	0.141195835651627	0.252632431044561	0.191859294678716	0.261755928491433	NO	Egg_WT - Oocyte_WT	Ef1gamma, isoform C OS=Drosophila melanogaster GN=Ef1gamma PE=4 SV=1	cell death;metabolic process	cytoplasm;nucleus	catalytic activity;protein binding;RNA binding	Pf00043, Pf00647, Pf02798, Pf13409, Pf13410, Pf13417, Pf14497	44791	FBgn0029176	Ef1gamma	3R	
A0A0B4JDB9	0.00331640397197308	0.0138435358319892	0.0246048698397848	0.989403645165273	0.980484923960061	0.523309649287513	0.545351521167717	NO	Egg_WT - Oocyte_WT	eIF4E-Homologous protein, isoform D OS=Drosophila melanogaster GN=4EHP PE=1 SV=1	metabolic process;regulation of biological process;response to stimulus	cytoplasm	protein binding;RNA binding;translation regulator activity	Pf01652	326255	FBgn0053100	4EHP	3R	
A0A0B4JDE8	0.147039160301416	1.07107053582155	1.30251922054226	0.325318626005209	0.199730294840074	0.286371336634981	0.229582574789164	NO	Egg_WT - Oocyte_WT	CG6136, isoform B OS=Drosophila melanogaster GN=CG6136 PE=4 SV=1			metal ion binding	Pf03932	41877	FBgn0038332	CG6136	3R	
A0A0B4K5Z5	0.109865077446353	1.35264484187333	1.0465654087744	0.224917697963675	0.301196592282442	0.235550341091716	0.29125048447984	NO	Egg_WT - Oocyte_WT	Ubiquitin conjugating enzyme, isoform C OS=Drosophila melanogaster GN=Ubc6 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;nucleus	catalytic activity;nucleotide binding;protein binding	Pf00179, Pf14461	40610	FBgn0004436	UbcD6; Ubc6	3R	Ubiquitin mediated proteolysis
